parent_id,comment_id,body,predict_sentiment
7iu6ov,dr1eis1,"""DynastyNow.com"" is a spam site.  This article is plagiarized from Sportsnet.ca:

http://www.sportsnet.ca/hockey/nhl/survey-canadians-opposed-using-taxpayer-funds-nhl-franchises/",Positive
7iu6ov,dr1iprh,"No shit.

Cities should stop being held ransom by owners for new arenas anyways. ",Negative
7iu6ov,dr1j8bu,"Is this real life? Why on Earth would we give them more money when ticket prices are already insanely high, and players and management are already making millions of dollars a year?",Negative
7iu6ov,dr1jrly,"Tax dollars should go towards things that citizens actually use and need such as roads and schools. These areas wouldn't be as successful without the government funding. Not every Canadian can first of all afford to go to an NHL hockey game let alone buy a jersey or maybe even has general interest. After the lock out, I lost a lot of faith in professional sports. I don't believe tax payers should be on the hook for corporate greed. ",Negative
7iu6ov,dr1jvp4,"If a team came to Saskatchewan and taxpayers ended up putting a chunk of money towards it, then we should also own that part of the team. We would also get the percentage of profits of what we put in. Won't happen because we don't ""own"" the team. The rich guy owns the team. It's dumb, we pay to have the team come here, followed by having to go to the game to pay off the taxes we paid to have them come. It's double dipping and absolutely dumb.",Positive
7iu6ov,dr1f9m6,"https://www.edmonton.ca/attractions_events/rogers_place/the-agreement.aspx

http://www.huffingtonpost.ca/2017/12/04/daryl-katz-canadian-billionaire-buys-l-a-s-most-expensive-home-ever_a_23296739/

",Positive
7iu6ov,dr1in64,"I'm for Public funds paying for an Arena, as long as the professional sports team pays enough rent over the iron-clad multi-year term to pay it off. I'm thinking 99 year lease. No-one is moving if they still owe 79 years of rent...",Negative
7iu6ov,dr1k84b,I wonder how many people can't even afford to go to an NHL game.  Is it any wonder they don't want their tax dollars going into it? ,Negative
7iu6ov,dr1md3z,"I'm absolutely willing to contribute my taxes to pay for a NHL franchise.

Provided:

1. The team becomes a semi-crown corp with government oversight
2. The team's books are open to the public.

IE.  The team stops being the play toy of a rich billionaire.  

Take it or leave it.  There's no middle ground here.",Positive
7iu6ov,dr1ig5n,I don't understand why all the articles about publically funded arenas use the Sens as a thumbnail. They're one of the few teams to privately finance their current arena.,Negative
7iu6ov,dr1lucx,I'm all for it as long as tax payer get to own the percentage of the team they funded. Wouldn't be fair otherwise.,Positive
7iu6ov,dr1lg6t,Pffffffffftt sit the fuck down NHL. ,Negative
7iu6ov,dr1lzhe,"Not everyone can afford to go to a hockey game regularly. Why should people who are less off be on the hook for something they can't go to? 

A ticket for a half decent flames ticket near the front row in the 200 section is well, around $200 dollars. That is absurd. That is two days wages for a minimum wage worker.

Then we haven't even discussed they hyper-inflated booze, pop, food and parking. ",Negative
7iu6ov,dr1ln3z,"""Duh""",Positive
7iu6ov,dr1n33p,The only reason ticket prices are so high is that teams know fans are willing and able to pay those prices. So the prices are no one's fault but our own.,Negative
7iu6ov,dr1jkyq,"Taking advantage of our love for hockey. Doesn't feel good. That said, it's tough because I want to see these areas thrive. I agree with some of you here, 1/3 of the funding sounds reasonable to me.",Positive
7iu6ov,dr1n5ol,How about we  use that money and put it into programs people actually need. Professional sports players and organizations don’t need more money. They are greedy fucks already ,Negative
7iu6ov,dr1m0f3,"As a Canadian who doesn't give a fuck about hockey, i feel the nhl should just fuck right off and go back to local leagues. The player are over paid, the areas are super tight and you have to take a small loan for concession. A game is ruined when players play for money not fun and bragging rights. ",Negative
7iu6ov,dr1lpph,"Meh, I like what Vegas is doing with the Raiders.

Tacking on a few percentiles onto their hotel taxes. The municipality IS paying for it, but with tourist dollars.

Of course that is probably the best possible situation and unique to the Vegas market alone. ",Positive
7iu6ov,dr1mh14,"government subsidized sportsteams.... the problem once its accepted even 1 time is its impossible to stop. the infrastructure gets put in place with expanded government + jobs.. then it gets perceived as a good thing and nobody would dare oppose it, regardless of how economically viable it is. it would be really, really bad if this ever happens


let the god damn market dictate the success of a sports team. if it can't turn a profit, its not meant to be",Positive
7iu6ov,dr1nc83,Maybe Edmonton should subsidize my new Mexican themed bar and grill since it will draw people to the area and stimulate the economy!,Positive
